ime_zanra;opis
Poetry;Poetry is a form of literary art in which language is used for its aesthetic and evocative qualities in addition to, or in lieu of, its apparent meaning. Poetry may be written independently, as discrete poems, or may occur in conjunction with other arts, as in poetic drama, hymns or lyrics. Poetry, and discussions of it, have a long history. Early attempts to define poetry, such as Aristotle's Poetics, focused on the uses of speech in rhetoric, drama, song and comedy.[1] Later attempts concentrated on features such as repetition and rhyme, and emphasised the aesthetics which distinguish poetry from prose.[2] From the mid-20th century, poetry has sometimes been more loosely defined as a fundamental creative act using language.[3] Poetry often uses particular forms and conventions to expand the literal meaning of the words, or to evoke emotional or sensual responses. Devices such as assonance, alliteration, onomatopoeia and rhythm are sometimes used to achieve musical or incantatory effects. Poetry's use of ambiguity, symbolism, irony and other stylistic elements of poetic diction often leaves a poem open to multiple interpretations. Similarly, metaphor and simile create a resonance between otherwise disparate images—a layering of meanings, forming connections previously not perceived. Kindred forms of resonance may exist, between individual verses, in their patterns of rhyme or rhythm. Some forms of poetry are specific to particular cultures and genres, responding to the characteristics of the language in which the poet writes. While readers accustomed to identifying poetry with Dante, Goethe, Mickiewicz and Rumi may think of it as being written in rhyming lines and regular meter, there are traditions, such as those of Du Fu and Beowulf, that use other approaches to achieve rhythm and euphony. In today's globalized world, poets often borrow styles, techniques and forms from diverse cultures and languages.
Politics;"Politics (from Greek πολιτικός, ""of, for, or relating to citizens""), is a process by which groups of people make collective decisions. The term is generally applied to the art or science of running governmental or state affairs. It also refers to behavior within civil governments. However, politics can be observed in other group interactions, including corporate, academic, and religious institutions. It consists of ""social relations involving authority or power"" and refers to the regulation of public affairs within a political unit, and to the methods and tactics used to formulate and apply policy."
Realistic Fiction;Realistic Fiction seems like real life, with characters dealing with real life problems. The plot often takes place in the present time. The situations are true or could be, but the main characters are fictional.
Spirituality;Spirituality may refer to almost any kind of meaningful activity, personal growth, or blissful experience. Traditionally, spirituality refers to a process of re-formation of the personality but there is no precise definition of spirituality.
Religion;Religion is a cultural system that establishes symbols that relate humanity to spirituality and moral values. Many religions have narratives, symbols, traditions and sacred histories that are intended to give meaning to life or to explain the origin of life or the universe. They tend to derive morality, ethics, religious laws or a preferred lifestyle from their ideas about the cosmos and human nature.
Retellings;A new version of an older story. Sometimes, a fairy tale or myth may be reimagined with a modernized setting or retold from a minor character's perspective.
Romance;"According to the Romance Writers of America, ""Two basic elements comprise every romance novel: a central love story and an emotionally-satisfying and optimistic ending."" Both the conflict and the climax of the novel should be directly related to that core theme of developing a romantic relationship, although the novel can also contain subplots that do not specifically relate to the main characters' romantic love. Other definitions of a romance novel may be broader, including other plots and endings or more than two people, or narrower, restricting the types of romances or conflicts."
School Stories;Books set at school, typically centering on pre-adolescent and adolescent school life. School stories are frequently set in boarding schools, often single-sex, and focus largely on friendship and loyalty between pupils. See also academic .
School;See also school stories .
Science Fiction Fantasy;See: * Science Fiction * Fantasy * Science Fantasy * Speculative Fiction
Science Fiction Fantasy;See: * Science Fiction * Fantasy * Science Fantasy * Speculative Fiction
Science Fiction;"Science fiction (abbreviated SF or sci-fi with varying punctuation and capitalization) is a broad genre of fiction that often involves speculations based on current or future science or technology. Science fiction is found in books, art, television, films, games, theatre, and other media. In organizational or marketing contexts, science fiction can be synonymous with the broader definition of speculative fiction , encompassing creative works incorporating imaginative elements not found in contemporary reality; this includes fantasy , horror and related genres. Although the two genres are often conflated as science fiction/fantasy , science fiction differs from fantasy in that, within the context of the story, its imaginary elements are largely possible within scientifically established or scientifically postulated laws of nature (though some elements in a story might still be pure imaginative speculation). Exploring the consequences of such differences is the traditional purpose of science fiction, making it a ""literature of ideas"". Science fantasy is largely based on writing entertainingly and rationally about alternate possibilities in settings that are contrary to known reality."
Screenplays Plays;"Science fiction (abbreviated SF or sci-fi with varying punctuation and capitalization) is a broad genre of fiction that often involves speculations based on current or future science or technology. Science fiction is found in books, art, television, films, games, theatre, and other media. In organizational or marketing contexts, science fiction can be synonymous with the broader definition of speculative fiction , encompassing creative works incorporating imaginative elements not found in contemporary reality; this includes fantasy , horror and related genres. Although the two genres are often conflated as science fiction/fantasy , science fiction differs from fantasy in that, within the context of the story, its imaginary elements are largely possible within scientifically established or scientifically postulated laws of nature (though some elements in a story might still be pure imaginative speculation). Exploring the consequences of such differences is the traditional purpose of science fiction, making it a ""literature of ideas"". Science fantasy is largely based on writing entertainingly and rationally about alternate possibilities in settings that are contrary to known reality."
Sequential Art;Sequential art refers to the art form of using a train of images deployed in sequence to tell a story or convey information. The best-known examples of sequential art are comics , graphic novels , and manga . See also the compound shelves: * graphic novels, comics, and manga * graphic novels and comics * graphic novels and manga * comics and manga
Shonen;The term shōnen, shonen, or shounen manga (少年漫画) refers to manga marketed to a teen male audience.
Short Stories;"A short story is a short work of prose fiction. It may be in any genre of fiction, and the exact definition of ""short"" will often depend on the genre. Short stories are often collected together with other short stories, poetry, art, and/or essays in order to form a larger book, although it is becoming more common for short stories to be released as stand-alone ebooks."
Space Opera;Space opera is a subgenre of speculative fiction or science fiction that emphasizes romantic, often melodramatic adventure, set mainly or entirely in space, generally involving conflict between opponents possessing powerful (and sometimes quite fanciful) technologies and abilities. Perhaps the most significant trait of space opera is that settings, characters, battles, powers, and themes tend to be very large-scale. Also see Planetary Romance ,which has similarities.
Space;"""Space"" may refer to stories (usually science fiction ) which are set in outer space or it may refer to non-fiction about outer space (especially sciences such as astronomy )."
Spirituality;Spirituality may refer to almost any kind of meaningful activity, personal growth, or blissful experience. Traditionally, spirituality refers to a process of re-formation of the personality but there is no precise definition of spirituality.
Steampunk;"Steampunk is a subgenre of speculative fiction, usually set in an anachronistic Victorian or quasi-Victorian alternate history setting. It could be described by the slogan ""What the past would look like if the future had happened sooner."" It includes fiction with science fiction, fantasy or horror themes. It is a subgenre of fantasy and speculative fiction that came into prominence in the 1980s and early 1990s. The term denotes works set in an era or world where STEAM POWER is still widely used—usually the 19th century, and often set in Victorian era England—but with prominent elements of either science fiction or fantasy, such as fictional technological inventions like those found in the works of H. G. Wells and Jules Verne, or real technological developments like the computer occurring at an earlier date. Dieselpunk takes over where Steampunk leaves off. These are stories that take over as we usher in the machine-heavy eras of WWI and WWII. The use of diesel-powered machines plays heavily. In this (like its steam counterpart), the focus is on the technology."
Supernatural;"The supernatural genre is fiction about witches, vampires, ghosts, werewolves, shape shifters, demons, angels, or anything else in the paranormal or otherworldly realm. A sub-category is ""supernatural-romance"" in which the plot revolves around the main female character and the romance storyline. Also see Paranormal ."
Surrealism;"Surrealist works feature the element of surprise, unexpected juxtapositions and non sequitur; however, many Surrealist artists and writers regard their work as an expression of the philosophical movement first and foremost, with the works being an artifact."
Suspense;"Suspense is a feeling of uncertainty and anxiety about the outcome of certain actions, most often referring to an audience's perceptions in a dramatic work. Suspense is not exclusive to fiction, though. Suspense may operate in any situation where there is a lead up to a big event or dramatic moment, with tension being a primary emotion felt as part of the situation. In the kind of suspense described by film director Alfred Hitchcock, an audience experiences suspense when they expect something bad to happen and have (or believe they have) a superior perspective on events in the drama's hierarchy of knowledge, yet they are powerless to intervene to prevent it from happening. In broader definitions of suspense, this emotion arises when someone is aware of his lack of knowledge about the development of a meaningful event; thus, suspense is a combination of anticipation and uncertainty dealing with the obscurity of the future. In terms of narrative expectations, it may be contrasted with mystery or curiosity and surprise."
Teen;Books for teenagers.
Thriller;Thrillers are characterized by fast pacing, frequent action, and resourceful heroes who must thwart the plans of more-powerful and better-equipped villains. Literary devices such as suspense, red herrings and cliffhangers are used extensively. Thrillers often overlap with mystery stories, but are distinguished by the structure of their plots. In a thriller, the hero must thwart the plans of an enemy, rather than uncover a crime that has already happened. Thrillers also occur on a much grander scale: the crimes that must be prevented are serial or mass murder, terrorism, assassination, or the overthrow of governments. Jeopardy and violent confrontations are standard plot elements. While a mystery climaxes when the mystery is solved, a thriller climaxes when the hero finally defeats the villain, saving his own life and often the lives of others.
Translation;The process of converting text from one language to another. Translation of literary works can be highly challenging and is considered a literary pursuit in its own right.
Translations;The process of converting text from one language to another. Translation of literary works can be highly challenging and is considered a literary pursuit in its own right.
Urban Fantasy;Urban fantasy is a subset of contemporary fantasy, consisting of novels and stories with supernatural and/or magical elements set in contemporary, real-world, urban settings--as opposed to 'traditional' fantasy set in imaginary locations. Many urban fantasy novels are told via a first-person narrative, and feature supernatural beings such as vampires, shapeshifters, fairies, witches, sorcerers, and demons. Urban fantasy stories tend to have a high amount of suspense and action, and sometimes include mystery, romance, humor and/or horror in the plotline.
Vampires;Vampires are mythological or folkloric beings who subsist by feeding on the life essence (generally in the form of blood) of living creatures, regardless of whether they are undead or a living person. They are characterized by fangs, usually retractable, used to suck blood. Vampires are usually killed by a stake to the heart and direct exposure to sunlight. They are often warded off by crosses and the smell of garlic. Since they are undead, they are generally immortal unless killed by one of the aforementioned methods. Often, many are blessed with unnatural and inhuman strength and senses.
War;A war novel is a novel in which the primary action takes place in a field of armed combat, or in a domestic setting (or home front) where the characters are preoccupied with the preparations for, or recovery from, war. See history for specific wars.
Womens Fiction;"Women's fiction is an umbrella term for books that are marketed to female readers, and includes many mainstream novels, romantic fiction, ""chick lit,"" and other sub genres. It is distinct from Women's writing, which refers to literature written by (rather than promoted to) women. There exists no comparable label in English for works of fiction that are marketed to males. The Romance Writers of America organization defines women's fiction as, ""a commercial novel about a woman on the brink of life change and personal growth. Her journey details emotional reflection and action that transforms her and her relationships with others, and includes a hopeful/upbeat ending with regard to her romantic relationship."""
Young Adult Fantasy;Fantasy books in which the protagonist is under the age of 18. For readers between the ages of 12 and 17.
Young Adult Contemporary;Modern fiction geared towards teens roughly 13 to 18 years old. Main characters are usually teenagers or younger adults. Young Adult Contemporary is often realistic, but can overlap with fantasy or magic realism.
Young Adult Fantasy;Fantasy books in which the protagonist is under the age of 18. For readers between the ages of 12 and 17.
Young Adult;Young-adult fiction (often abbreviated as YA) is fiction written for, published for, or marketed to adolescents and young adults, roughly ages 13 to 18. Young-adult fiction, whether in the form of novels or short stories, has distinct attributes that distinguish it from the other age categories of fiction. The vast majority of YA stories portray an adolescent as the protagonist, rather than an adult or a child. The subject matter and story lines are typically consistent with the age and experience of the main character, but beyond that YA stories span the entire spectrum of fiction genres. The settings of YA stories are limited only by the imagination and skill of the author. Themes in YA stories often focus on the challenges of youth, so much so that the entire age category is sometimes referred to as problem novels or coming of age novel. Writing styles of YA stories range widely, from the richness of literary style to the clarity and speed of the unobtrusive. Despite its unique characteristics, YA shares the fundamental elements of fiction with other stories: character, plot, setting, theme, and style.
